model,series,refrigerant_compatibility,medium_temp_min,medium_temp_max,ambient_temp_min,ambient_temp_max,max_working_pressure,kv_value,max_op_pressure_diff_gas,max_op_pressure_diff_ac,max_op_pressure_diff_dc,min_op_pressure_diff,actuation_type,valve_type,pipe_size,coil_model,certification,remark
MDF-A03-22H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,6,3.1,3.1,-,0.02,膜片先导式,常闭,2001/3/8,MQ-A03,"TUV,CQC,LVD/PED",焊接式
MDF-B03-25H003,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,10.3,3.1,3.1,-,0.02,活塞先导式,常闭,2001/1/8,-,"TUV,CQC,LVD/PED",焊接式
MDF-B03-25H005,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,10.3,3.1,3.1,-,0.02,活塞先导式,常闭,28mm,-,"TUV,CQC,LVD/PED",焊接式
MDF-B03-25H004,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,10.3,3.1,3.1,-,0.02,活塞先导式,常闭,2001/3/8,-,"TUV,CQC,LVD/PED",焊接式
MDF-B03-32H001,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,15.4,3.1,3.1,-,0.02,活塞先导式,常闭,2001/3/8,-,"TUV,CQC,LVD/PED",焊接式
MDF-B03-32H002,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,15.4,3.1,3.1,-,0.02,活塞先导式,常闭,2001/5/8,-,"TUV,CQC,LVD/PED",焊接式
MDF-B03-32H003,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,15.4,3.1,3.1,-,0.02,活塞先导式,常闭,42mm,-,"TUV,CQC,LVD/PED",焊接式
MDF-B03-40H002,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,25,3.1,3.1,-,0.02,活塞先导式,常闭,2001/5/8,-,"TUV,CQC,LVD/PED",焊接式
MDF-B03-40H003,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,25,3.1,3.1,-,0.02,活塞先导式,常闭,42mm,-,"TUV,CQC,LVD/PED",焊接式
MDF-B03-40H004,MDF,"R22,R134a,R404A,R410A,R507",-40,140,-40,55,4.5,25,3.1,3.1,-,0.02,活塞先导式,常闭,2002/1/8,-,"TUV,CQC,LVD/PED",焊接式
MDF-A02-6H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-6H006,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,2.8,2.8,-,0.005,膜片先导式,常开,10mm,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-6H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-6H008,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,0.8,2.8,2.8,-,0.005,膜片先导式,常开,12mm,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-10H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-10H006,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,2.8,2.8,-,0.005,膜片先导式,常开,12mm,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-10H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,1.9,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-15H006,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,2.3,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-15H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,2.3,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-15H051,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,3.3,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-15H052,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,3.3,2.8,2.8,-,0.005,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-20H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,5,2.8,2.8,-,0.02,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-20H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,5,2.8,2.8,-,0.02,膜片先导式,常开,2001/1/8,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-20H008,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,5,2.8,2.8,-,0.02,膜片先导式,常开,28mm,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-22H002,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,6,2.8,2.8,-,0.02,膜片先导式,常开,-,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-22H008,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,6,2.8,2.8,-,0.02,膜片先导式,常开,2001/1/8,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-22H012,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,6,2.8,2.8,-,0.02,膜片先导式,常开,28mm,MQ-A02,"TUV,CQC,LVD/PED",焊接式
MDF-A02-22H004,MDF,"R22,R134a,R404A,R410A,R507",-40,105,-40,55,4.9,6,2.8,2.8,-,0.02,膜片先导式,常开,2001/3/8,MQ-A02,"TUV,CQC,LVD/PED",焊接式
FDF2A94,FDF,"R22,R134a,R404A,R410A",-30,120,-30,50,4.5,0.08,3.4,3.4,-,0,直动式,常闭,-,FQ-A05,"UL&CUL,TUV,VDE,CQC,LVD/PED",
FDF3A08,FDF,"R22,R134a,R404A,R410A",-30,120,-30,50,4.5,0.26,3.4,3.4,-,0.01,先导式,常闭,-6,FQ-A05,"UL&CUL,TUV,VDE,CQC,LVD/PED",
FDF4A10,FDF,"R22,R134a,R404A,R410A",-30,120,-30,50,4.5,0.3,2.8,2.8,-,0,先导式,常闭,-,FQ-A05,"UL&CUL,TUV,VDE,CQC,LVD/PED",
FDF6A58,FDF,"R22,R134a,R404A,R410A",-30,120,-30,50,4.5,0.56,3.4,3.4,-,0.01,先导式,常闭,-6,FQ-A05,"UL&CUL,TUV,VDE,CQC,LVD/PED",
FDF8A08,FDF,"R22,R134a,R404A,R410A",-30,120,-30,50,4.5,0.94,3,3,-,0.01,先导式,常闭,-,FQ-A03,"UL&CUL,TUV,VDE,CQC,LVD/PED",
FDF11A14,FDF,"R22,R134a,R404A,R410A",-30,120,-30,50,4.5,2.4,2.8,2.8,-,0.02,先导式,常闭,-,FQ-A05,"UL&CUL,TUV,VDE,CQC,LVD/PED",
FDF13A08,FDF,"R22,R134a,R404A,R410A",-30,120,-30,50,4.5,3.5,2.8,2.8,-,0.02,先导式,常闭,-,FQ-A05,"UL&CUL,TUV,VDE,CQC,LVD/PED",
FDF2AG01,FDF-G,"R134a,R404A,R410A",-30,120,-30,50,4.5,0.08,3.4,3.4,-,0,直动式,常闭,-,FQ-A05,"UL&CUL,TUV(申请中)",
FDF3AG01,FDF-G,"R134a,R404A,R410A",-30,120,-30,50,4.5,0.3,3.4,3.4,-,0.005,先导式,常闭,-6,FQ-A05,"UL&CUL,TUV(申请中)",
FDF4AG200,FDF-G,"R134a,R404A,R410A",-30,120,-30,50,4.5,0.43,3,3,-,0,先导式,常闭,-6,FQ-A05,"UL&CUL,TUV(申请中)",
FDF6AG01,FDF-G,"R134a,R404A,R410A",-30,120,-30,50,4.5,0.56,3.4,3.4,-,0.005,先导式,常闭,-6,FQ-A05,"UL&CUL,TUV(申请中)",
FDF8AG01,FDF-G,"R134a,R404A,R410A",-30,120,-30,50,4.5,0.95,3.1,3.1,-,0.007,先导式,常闭,-,FQ-A05,"UL&CUL,TUV(申请中)",
FDF11AG01,FDF-G,"R134a,R404A,R410A",-30,120,-30,50,4.5,2.58,3.1,3.1,-,0.007,先导式,常闭,-,FQ-A05,"UL&CUL,TUV(申请中)",
FDF13AG01,FDF-G,"R134a,R404A,R410A",-30,120,-30,50,4.5,3.45,2.8,2.8,-,0.007,先导式,常闭,-,FQ-A05,"UL&CUL,TUV(申请中)",
LDF2A01,LDF,"R22,R410A,R134a,R404A",-30,120,-30,50,4.2,0.12,3.1,3.1,-,0,直动式,常闭,-,FQ-A05,-,
LDF2A02,LDF,"R22,R410A,R134a,R404A",-30,120,-30,50,4.2,0.12,3.1,3.1,-,0,直动式,常闭,-,FQ-A05,-,
LDF3A08,LDF,"R22,R410A,R134a,R404A",-30,120,-30,50,4.2,0.35,3.1,3.1,-,0.005,先导式,常闭,-,FQ-A05,-,
LDF4A08,LDF,"R22,R410A,R134a,R404A",-30,120,-30,50,4.2,0.4,3.1,3.1,-,0.005,先导式,常闭,-,FQ-A05,-,
LDF6A07,LDF,"R22,R410A,R134a,R404A",-30,120,-30,50,4.2,0.6,3.1,3.1,-,0,先导式,常闭,-6,FQ-A05,-,
LDF6A08,LDF,"R22,R410A,R134a,R404A",-30,120,-30,50,4.2,0.8,3.1,3.1,-,0.005,先导式,常闭,-6,FQ-A05,-,
LDF8A01,LDF,"R22,R410A,R134a,R404A",-30,120,-30,50,4.2,0.9,3.1,3.1,-,0.005,先导式,常闭,-,FQ-A05,-,
LDF8A02,LDF,"R22,R410A,R134a,R404A",-30,120,-30,50,4.2,1.1,3.1,3.1,-,0.005,先导式,常闭,-,FQ-A05,-,
KDF3H01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.26,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF3HD01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.26,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF3H02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.26,3.1,3.1,2.8,0.007,活塞先导式,常闭,6mm,FQ-A05/HQ,-,交流线圈
KDF3HD02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.26,3.1,3.1,2.8,0.007,活塞先导式,常闭,6mm,FQ-D13,-,直流线圈
KDF3H03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.26,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF3HD03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.26,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF3H04,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.26,3.1,3.1,2.8,0.007,活塞先导式,常闭,10mm,FQ-A05/HQ,-,交流线圈
KDF3HD04,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.26,3.1,3.1,2.8,0.007,活塞先导式,常闭,10mm,FQ-D13,-,直流线圈
KDF4H01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.5,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF4HD01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.5,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF4H02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.5,3.1,3.1,2.8,0.007,活塞先导式,常闭,10mm,FQ-A05/HQ,-,交流线圈
KDF4HD02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.5,3.1,3.1,2.8,0.007,活塞先导式,常闭,10mm,FQ-D13,-,直流线圈
KDF4H03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.5,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF4HD03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.5,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF4H04,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.5,3.1,3.1,2.8,0.007,活塞先导式,常闭,12mm,FQ-A05/HQ,-,交流线圈
KDF4HD04,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.5,3.1,3.1,2.8,0.007,活塞先导式,常闭,12mm,FQ-D13,-,直流线圈
KDF6H01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF6HD01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF6H02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,10mm,FQ-A05/HQ,-,交流线圈
KDF6HD02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,10mm,FQ-D13,-,直流线圈
KDF6H03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF6HD03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF6H04,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,12mm,FQ-A05/HQ,-,交流线圈
KDF6HD04,KDF,"HCFC,HFC",-40,140,-30,55,4.5,0.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,12mm,FQ-D13,-,直流线圈
KDF9H01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,1.3,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF9HD01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,1.3,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF9H02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,1.3,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF9HD02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,1.3,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF9H03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,1.3,3.1,3.1,2.8,0.007,活塞先导式,常闭,12mm,FQ-A05/HQ,-,交流线圈
KDF9HD03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,1.3,3.1,3.1,2.8,0.007,活塞先导式,常闭,12mm,FQ-D13,-,直流线圈
KDF10H01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF10HD01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF10H02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF10HD02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF10H03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2,3.1,3.1,2.8,0.007,活塞先导式,常闭,12mm,FQ-A05/HQ,-,交流线圈
KDF10HD03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2,3.1,3.1,2.8,0.007,活塞先导式,常闭,12mm,FQ-D13,-,直流线圈
KDF15H01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF15HD01,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF15H02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF15HD02,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
KDF15H03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-A05/HQ,-,交流线圈
KDF15HD03,KDF,"HCFC,HFC",-40,140,-30,55,4.5,2.8,3.1,3.1,2.8,0.007,活塞先导式,常闭,-,FQ-D13,-,直流线圈
